title,author (first last),author (last name),text,month,year,venue,edited by,form (if known),gender (if known),themes,second venue,published in (city),Magazine Type,Author Bio.
I Met A Little Blue-Eyed Girl,Bertha Johnston,Johnston,A certain element in the South takes pains to rear the children of the family...,July,1912,The Crisis,W.E.B. Du Bois,Free Verse,female,"Interracial, Lynching and Racialized Violence",,New York,Predom. Black,
Here in the Time of the Winter Morn,William H.A. Moore ,Moore,"Here in the time of the Winter morn,
    Love.
I see the Sunlit leaves of changing...",January,1912,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
Up! Sing the Song,James D. Corrothers,Corrothers,"I am a Negro, but I sing and sing,
   Burning with kiss divine...",May,1913,The Crisis,W.E.B. Du Bois,Sonnet,male,"Race, Music",,New York,Predom. Black,
The Road to the Bow,James D. Corrothers,Corrothers,"Ever and ever and anon,
After the black storm, the eternal, beautous bow!
Brother, to rosy-painted mists...",January,1913,The Crisis,W.E.B. Du Bois,,male,"Haiti, Race, Caribbean",,New York,Predom. Black,
At the Closed Gate of Justice,James D. Corrothers,Corrothers,"To be a Negro in a day like this
  Demands forgiveness. Bruised with blow on...",October,1913,The Crisis,W.E.B. Du Bois,,male,"Racism, Patriotism",,New York,Predom. Black,
Easter-Emancipation 1863-1913/ Children of the Moon,W.E.B. Du Bois,Du Bois,"I am dead;
Yet somehow, somewhere,
In Time's weird contradiction, I 
May tell of that dread deed, wherewith
I...",April,1913,The Crisis,W.E.B. Du Bois,,male,"Motherhood, Religion, Slavery",Darkwater: Voices Within the Veil,New York,Predom. Black,
Fifty Years,James Weldon Johnson,Johnson,"O brothers mine, to-day we stand
      Where half a century...",,1913,New York Times,,Common Measure,male,"Progress and Racial Uplift, Civil War","Fifty Years and Other Poems, Dunbar Speaker and Entertainer",New York,Predom. White,
"Father, Father Abraham",James Weldon Johnson,Johnson,"FATHER, FATHER ABRAHAM

(On the Anniversary of Lincoln's Birth)

    Father, Father Abraham,
      To-day...",February,1913,The Crisis,W.E.B. Du Bois,,male,"Abraham Lincoln, Religion",,New York,Predom. Black,
That One Might Live in the Sunlight Glad,William H.A. Moore,Moore,"That one might live in the sunlight glad
   And know the day;
That one...",March,1913,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
"Listen, O Isles!",James D. Corrothers,Corrothers,"LISTEN, O ISLES!* 
[An appreciation of the Philippine Constabulary Band, organized by a Negro, Captain Loving,...",June,1914,The Crisis,W.E.B. Du Bois,,male,"Music, Empire",,New York,Predom. Black,
A Song of May and June,James D. Corrothers,Corrothers,"Oh sweet, as an orient 'Maid o' the moon,'
   With wild roses in her dark...",June,1914,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
Certainty,Leslie Pinckney Hill,Hill,"What have I fathomed of life,
What of its medley of strife,
Sorrow and solace profound?
What can...",February,1914,The Crisis,W.E.B. Du Bois,,male,Religion,,New York,Predom. Black,
A Lullaby,Cora J. Ball Moten,Moten,"Dusky lashes droop and fall,
Night-winds whisper, night-birds call.
Close your tired sleepy eyes,
Earth is singing lullabies,
Kindly...",October,1914,The Crisis,W.E.B. Du Bois,Lullaby,female,"Racism, Motherhood",,New York,Predom. Black,
"The ""Crisis""",William Pickens,Pickens,"Thou quiv’ring tongue of fire!
    Bring to our land a Pentecost,
The hearts of men inspire
To...",May,1914,The Crisis,W.E.B. Du Bois,,male,Progress and Racial Uplift,,New York,Predom. Black,
King Cotton and the Negro,Jasper Ross,Ross,"With brawny arms the negro stands,
Uplifting in his sable hands 
King Cotton; while about him grow
The...",September,1914,The Crisis,W.E.B. Du Bois,,male,"Labor, Racism",,New York,Predom. Black,
On Segregation,Arthur Tunnell,Tunnell,"(Inspired by the Washington protest meeting)

Strong spirits must awaken! for the time,
Unhealthy with a bitter...",March,1914,The Crisis,W.E.B. Du Bois,Sonnet,male,Progress and Racial Uplift,,New York,Predom. Black,
Paean,Otto Bohanan,Bohanan,"Keep me in chains! I defy you!
That is a pow’r I deny you!
I will sing!...",March,1915,The Crisis,W.E.B. Du Bois,,male,"Africa, Racism",,New York,Predom. Black,
Laughing it Out,William Stanley Braithwaite,Braithwaite,"He had a whim, and laughted it out
   Upon the exit of a chance;
He floundered...",April,1915,The Crisis,W.E.B. Du Bois,Common Measure,male,,,New York,Predom. Black,
Scintilla,William Stanley Braithwaite,Braithwaite,"I kissed a kiss in youth
   Upon a dead man's brow;
And that was long ago,--
 ...",April,1915,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
Shakespeare,Benjamin Griffith Brawley,Brawley,"I thought how ofte the great gray god of years,
Swinging adown the dark abysm of...",May,1915,The Crisis,W.E.B. Du Bois,Sonnet,male,"Intertext, Sonnet",,New York,Predom. Black,
Spring,Carrie Williams Clifford,Clifford,"Spring, thou wilful, changeful maid,
Venturesome, yet half afraid
   King Winter to defy!
Come, with all thy...",July,1915,The Crisis,W.E.B. Du Bois,Sestain,female,,,New York,Predom. Black,
In the Matter of Two Men,James D. Corrothers,Corrothers,"One does such work as one will not,
  And well each knows the right;
Though...",January,1915,The Crisis,W.E.B. Du Bois,,male,"Labor, Racism",,New York,Predom. Black,
To Keep The Memory of Charlotte Forten Grimke,Angelina W. Grimke,Grimke,"Still are there wonders of the dark and day:
   The muted shrilling of shy things...",January,1915,The Crisis,W.E.B. Du Bois,Elegy,female,,,New York,Predom. Black,
The Black Man's Burden,Hubert Harrison,Harrison,"Take up the Black Man’s burden—
Send forth the worst ye breed,
And bind our sons in...",December ,1915,Colored American Review,R.G. Doggett,,male,"Intertext, Empire",,New York,Predom. Black,
Armageddon,Leslie Pinckney Hill,Hill,"Armageddon

Written at the outbreak of the World War ,just after President Wilson's appeal to the...",June,1915,The Crisis,W.E.B. Du Bois,,male,"World War I, Religion, Racism",,New York,Predom. Black,
The White Witch,James Weldon Johnson,Johnson,"O BROTHERS mine, take care! Take care!    
The great white witch rides...",March,1915,The Crisis,W.E.B. Du Bois,,male,Interracial,The Book of American Negro Poetry,New York,Predom. Black,
Fettered Liberty,Esther A. Yates ,Yates,"To come so near, and yet not touch the goal!
   To sight!
Its gleaming bars, like...",December,1915,The Crisis,W.E.B. Du Bois,Free Verse,female,"Race, Racism, Religion",,New York,Predom. Black,
The Washer-Woman,Otto Bohanan,Bohanan,"A great swart cheek and the gleam of tears,
The flutter of hopes and the shadow...",June,1916,The Crisis,W.E.B. Du Bois,,male,Labor,,New York,Predom. Black,
A Man,Ethel Caution Davis,Davis,"Man was I born, tho garbed tho garbed in hue of night,
Disorderly of feature, crowned...",April,1916,The Crisis,W.E.B. Du Bois,Free Verse,female,"Race, Religion",,New York,Predom. Black,
A Rainy Day,Lottie Burrell Dixon,Dixon,"Outside I hear the dashing rain
Fall full against the window pane. 
On such a day, the...",October,1916,The Crisis,W.E.B. Du Bois,,female,Children,,New York,Predom. Black,
Black Samson of Brandywine,Paul Laurence Dunbar,Dunbar,"In the fight at Brandywine, Black Samson, a giant negro
armed with a scythe, sweeps his...",September,1916,The Crisis,W.E.B. Du Bois,,male,"American Revolutionary War, Patriotism",,New York,Predom. Black,
Just a Little Tired,Katherine Gillard,Gillard,"Katharine Gilliard “Just a Little Tired” 

Just a little tired, waiting
Through the night
For the new day...",March,1916,The Crisis,W.E.B. Du Bois,,female,"Labor, Religion",,New York,Predom. Black,
 Essence,Georgia Douglas Johnson,Johnson,"The dreams of the dreamer
Are life-drops that pass
The break in the heart
Thru the soul’s hour-glass.
The...",May,1916,The Crisis,W.E.B. Du Bois,Octave,female,Music,,New York,Predom. Black,
Mate,Georgia Douglas Johnson,Johnson,"Our separate winding ways we trod,
Along the highways, unto God,
Unbonded by the clasp of hand,
Without...",November,1916,The Crisis,W.E.B. Du Bois,Octave,female,Religion,,New York,Predom. Black,
Fame,Georgia Douglas Johnson,Johnson,"Thru the land of tribulation,
   O'er the river of despair,
When the taut heart snaps with...",September,1916,The Crisis,W.E.B. Du Bois,Octave,female,,,New York,Predom. Black,
Gossamer,Georgia Douglas Johnson,Johnson,"The peerless boon of innocence,
   The first in nature's list
Has faded--ere the rising sun
   The...",May,1916,The Crisis,W.E.B. Du Bois,Octave,female,,,New York,Predom. Black,
Peace ,Georgia Douglas Johnson,Johnson,"I rest me deep within the wood,
   Drawn by its silent call,
Far from the throbbing...",September,1916,The Crisis,W.E.B. Du Bois,Quatrain,female,,,New York,Predom. Black,
 My Little One,Georgia Douglas Johnson,Johnson,"The infant eyes looked out amazed upon the frowning earth,
A stranger, in a stranger land,...",October,1916,The Crisis,W.E.B. Du Bois,Sestet,female,"Race, Racism, Religion",,New York,Predom. Black,
The Call,Will N. Johnson,Johnson,"Oh! the summer is soft and the breezes blow
Where my ship rides over the sea,
And...",November,1916,The Crisis,W.E.B. Du Bois,Octave,male,,,New York,Predom. Black,
Brothers,James Weldon Johnson,Johnson,"See! There he stands; not brave, but with an air
Of sullen stupor. Mark him well!...",February,1916,The Crisis,W.E.B. Du Bois,,male,"Racism, Slavery, Lynching and Racialized Violence",,New York,Predom. Black,
Slave's Song,Kelsey Percival Kitchel,Kitchel,"Ah, whether I loved you, who can say?
What of the chaff that lies i’ the...",May,1916,The Crisis,W.E.B. Du Bois,,female,Slavery,,New York,Predom. Black,
Retribution,Ida B. Luckie,Luckie,"Alas, My Country! Thou wilt have no need
Of enemy to bring thee to thy doom
If these...",August,1916,The Crisis,W.E.B. Du Bois,,female,"World War I, Religion",,New York,Predom. Black,
"Lo, the Dusk-Born Daughter!",B. Harrison Peyton,Peyton,"I. 
Lo, my Heart, behold! a girl of modest brown
Is gliding down the paths of...",July,1916,The Crisis,W.E.B. Du Bois,Ode,male,"Racsim, Black Beauty, ",,New York,Predom. Black,
Song of the American Dove,Lucian Watkins,Watkins,"I build my nest not on the crest
Of the mountain-throne, but in the breast–
The sheltering...",June,1916,The Crisis,W.E.B. Du Bois,,male,"World War I, Lynching and Racialized Violence, Music, Racism",,New York,Predom. Black,
Greatness,Lucian Watkins,Watkins,"We call him great for whom men strong and sure,
Charged with the leaping lightning of...",July,1916,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
Two Points of View,Lucian Watkins,Watkins,"From this low lying valley; Oh, how sweet
And cool and calm and great is life,...",April,1916,The Crisis,W.E.B. Du Bois,,male,,,New York,Predom. Black,
Mammy,Otto Bohanan,Bohanan,"She held him in her bronzen arms
   And fed him from her lavish breast,
And rid...",March,1917,The Crisis,W.E.B. Du Bois,Common Measure,male,"Interracial, Motherhood",,New York,Predom. Black,
The Dawn's Awake!,Otto Bohanan,Bohanan,"The Dawn’s awake! 
   A flash of smoldering flame and fire
Ignites the East. Then, higher, higher, 
 ...",March,1917,The Crisis,W.E.B. Du Bois,,male,Progress and Racial Uplift,,New York,Predom. Black,
Again It is September,Jessie Fauset,Fauset,"Again it is September! 
It seems so strange that I who made no vows
Should sit here...",September,1917,The Crisis,W.E.B. Du Bois,,female,,,New York,Predom. Black,
To the Dunbar High School ,Angelina W. Grimke,Grimke,"And she shall be the friend of youth for aye;
Of quick'ning youth whose eyes have...",July,1917,The Crisis,W.E.B. Du Bois,Sonnet,female,"Paul Laurence Dunbar, Intertext, Sonnet",,New York,Predom. Black,
Ethiopian Maid,Walter Everette Hawkins,Hawkins,"I MINGLE my goblet with oil of the vine,
And drink to the health of a...",July,1917,The Crisis,W.E.B. Du Bois,,male,"Africa, Black Beauty",Dunbar Speaker and Entertainer,New York,Predom. Black,
In the Still Night,Leslie Pinckney Hill,Hill,"In the Still Night

IN the still night there comes to me
The blessed boon of liberty.
From...",April,1917,The Crisis,W.E.B. Du Bois,,male,Religion,,New York,Predom. Black,
A Sonnet: to the Mantled,Georgia Douglas Johnson,Johnson,"And they shall rise and cast their mantles by,
Erect and strong and visioned, in the...",May,1917,The Crisis,W.E.B. Du Bois,Sonnet,female,"Racism, Sonnet",Bronze,New York,Predom. Black,
The Final Strain,Georgia Douglas Johnson,Johnson,"I climbed the the craggy hill of fame,
Heart-sore and wearily,
Stood on her gleaming goal at...",January,1917,The Crisis,W.E.B. Du Bois,Octave,female,Religion,,New York,Predom. Black,
Heritage,Georgia Douglas Johnson,Johnson,"Happy youth in joyous laughter,
Wafts me pensively alone
O'er the winding way where morrow
Claims the Mantled...",October,1917,The Crisis,W.E.B. Du Bois,Quatrain,female,Race: Identity formation,,New York,Predom. Black,
My Boy,Georgia Douglas Johnson,Johnson,"I hear you singing happily,
My boy of tarnished mien,
Lifting your limpid, trustful gaze
In innocence serene.
A...",October,1917,The Crisis,W.E.B. Du Bois,Quatrain,female,"Racism, Motherhood",,New York,Predom. Black,
The Mother,Georgia Douglas Johnson,Johnson,"The mother soothes her mantled child
With incantation sad and wild;
A deep compassion brims her eye
And...",October,1917,The Crisis,W.E.B. Du Bois,Quatrain,female,"Racism, Motherhood",,New York,Predom. Black,
Guardianship,Georgia Douglas Johnson,Johnson,"That dusky child upon your knee
Is breath of God’s eternity;
Direct his vision to the height...",October,1917,The Crisis,W.E.B. Du Bois,Quatrain,female,"Racism, Religion, Motherhood",,New York,Predom. Black,
Tears and Kisses,Georgia Douglas Johnson,Johnson,"There are tears sweet, refreshing like dewdrops that rise,
There are tears far too deep for...",August,1917,The Crisis,W.E.B. Du Bois,Rhyming Couplets,female,,,New York,Predom. Black,
Let Me Not Lose My Dream,Georgia Douglas Johnson,Johnson,"Let me not lose my dream, e’en though I scan the veil
with eyes unseeing through...",October,1917,The Crisis,W.E.B. Du Bois,Sestet,female,,,New York,Predom. Black,
Hope,Georgia Douglas Johnson,Johnson,"Frail children of sorrow, dethroned by a hue,
The shadows are flecked by the rose sifting...",October,1917,The Crisis,W.E.B. Du Bois,,female,Progress and Racial Uplift,,New York,Predom. Black,
To America,James Weldon Johnson,Johnson,"How would you have us, as we are?
Or sinking 'neath the load we bear?
Our eyes...",November,1917,The Crisis,W.E.B. Du Bois,Common Measure,male,Racism,,New York,Predom. Black,
Invocation,Claude McKay,McKay,"Ancestral Spirit, hidden from my sight
By modern Time's unnumbered works and ways
On which in awe...",October,1917,Seven Arts,James Oppenheim,Sonnet,male,Africa,Harlem Shadows,New York,Predom. White,
Harlem Dancer,Claude McKay,McKay,"Applauding youths laughed with young prostitutes
And watched her perfect, half-clothed body sway;
Her voice was like...",October,1917,Seven Arts,James Oppenheim,Sonnet,male,"Dance, Harlem, Black Beauty, Queer-Homoerotic",Harlem Shadows,New York,Predom. White,
